2019-08-21 13:15:00,2019-08-21 14:00:00,45,8040,Railstutorial,"13.2　書き"
2019-08-22 13:15:00,2019-08-22 14:10:00,40,8080,Railstutorial,"13.2　書き"
2019-08-24 14:45:00,2019-08-24 15:30:00,45,8125,Railstutorial,"13.3　書き"
2019-08-25 15:00:00,2019-08-25 15:40:00,40,8165,Railstutorial,"13.3　書き"
2019-08-26 13:40:00,2019-08-26 14:20:00,40,8205,Railstutorial,"13.3　書き"
2019-08-31 10:05:00,2019-08-31 11:05:00,60,8265,Railstutorial,"13.3　書き"
2019-09-01 10:30:00,2019-09-01 11:05:00,60,8265,Railstutorial,"13.3　書き"
2019-09-02 13:50:00,2019-09-02 14:25:00,35,8300,Railstutorial,"13.3　書き"
2019-09-03 12:10:00,2019-09-03 13:10:00,60,8360,Railstutorial,"13.4　書き"
2019-09-03 14:00:00,2019-09-03 14:20:00,20,8380,CherryBook,"1章"
2019-09-04 14:55:00,2019-09-04 17:45:00,170,8550,Railstutorial,"13.4　書き　本番の画像投稿失敗"
2019-09-05 13:30:00,2019-09-05 14:50:00,80,8630,Railstutorial,"13章　終わり"
2019-09-06 14:25:00,2019-09-06 15:30:00,65,8695,Railstutorial,"14.1 書き"
2019-09-06 15:30:00,2019-09-06 16:15:00,45,8740,CherryBook,"1章"
2019-09-07 14:00:00,2019-09-07 14:30:00,30,8770,Railstutorial,"14.1 書き"
2019-09-07 18:30:00,2019-09-07 19:00:00,30,8800,Progate,"atom xcode インストール　"
2019-09-08 09:25:00,2019-09-08 11:50:00,145,8945,Railstutorial,"14.1 書き"
2019-09-09 13:40:00,2019-09-09 14:10:00,30,8975,Railstutorial,"14.2 書き"
2019-09-10 10:50:00,2019-09-10 12:40:00,110,9085,Railstutorial,"14.2 書き route.rbでfollowing,followersを指定するとすでにuser.followers.countが使えるのが不思議"
2019-09-10 15:10:00,2019-09-10 15:45:00,35,9120,Progate,"homebrew rbenv ruby2.4.1 インストール　"
2019-09-11 12:35:00,2019-09-11 14:30:00,115,9235,Railstutorial,"14.3 書き"
2019-09-12 11:15:00,2019-09-12 11:55:00,40,9275,Railstutorial,"14章　終わり"
2019-09-12 14:00:00,2019-09-12 14:35:00,35,9310,CherryBook,"1章 Atomカスタマイズ"
2019-09-12 16:55:00,2019-09-12 17:30:00,35,9345,CherryBook,"1章 終わり"
2019-09-13 14:00:00,2019-09-13 14:30:00,30,9375,Flashcards,"　画面遷移図　モックアップ"
2019-09-15 12:35:00,2019-09-15 14:15:00,100,9475,Flashcards,"1　railsインストール　zeitwerkがruby2.4.1のバージョンで引っかかる"
2019-09-15 18:45:00,2019-09-15 19:00:00,15,9490,CherryBook,"2章"
2019-09-16 10:40:00,2019-09-16 11:50:00,70,9560,CherryBook,"2章"
2019-09-16 16:45:00,2019-09-16 17:55:00,70,9630,Flashcards,"1　railsインストール　rails6インストール　サーバー起動まで"
2019-09-17 11:25:00,2019-09-17 12:50:00,85,9715,Flashcards,"1　rails6からrails5.1.6にダウングレードしたいができない"
2019-09-17 16:45:00,2019-09-17 17:15:00,30,9745,CherryBook,"2章 heredocument"
2019-09-18 12:30:00,2019-09-18 13:50:00,80,9825,CherryBook,"2章 論理演算の返り値"
2019-09-18 14:50:00,2019-09-18 16:25:00,95,9920,Flashcards,"1　rails5.1.6ダウングレード　bundle install　git導入"
2019-09-19 10:40:00,2019-09-19 12:30:00,110,10030,Flashcards,"1　windowsインストール　sqliteの古いバージョンインストールできず"
2019-09-26 14:40:00,2019-09-26 15:05:00,25,10055,CherryBook,"2章"
2019-09-29 11:35:00,2019-09-29 13:00:00,85,10140,Flashcards,"1　gitブランチ表示設定"
2019-09-29 14:10:00,2019-09-29 15:10:00,60,10200,CherryBook,"2章 fin"
2019-10-06 13:05:00,2019-10-06 15:05:00,120,10320,Flashcards,"1　git push,herokuパス不明"
2019-10-07 16:40:00,2019-10-07 17:25:00,45,10365,CherryBook,"3章　Minitestでエラーがあったので結局Railsは6.0.0にアップデートしてしまった。Unable to activate railties-5.1.7,because activesupport-6.0.0 conflicts with activesupport (= 5.1.7) (Gem::ConflictError)"
2019-10-08 18:10:00,2019-10-08 19:00:00,50,10415,Flashcards,"2　git push,SSHではなくHTTPSでアドレス設定、間違ったアドレスは git remote rm originで。"
2019-10-09 16:25:00,2019-10-09 16:45:00,20,10435,Flashcards,"2"
2019-10-10 15:35:00,2019-10-10 16:05:00,30,10465,Flashcards,"2 fin"
2019-10-10 16:05:00,2019-10-10 16:45:00,40,10505,CherryBook,"3章　fin"
2019-10-14 13:50:00,2019-10-14 16:20:00,150,10655,Flashcards,"3"
2019-10-14 18:40:00,2019-10-14 20:10:00,90,10745,CherryBook,"4章　deci to hex"
2019-10-15 15:20:00,2019-10-15 17:55:00,155,10900,CherryBook,"4章　colorchange"
2019-10-16 13:00:00,2019-10-16 15:00:00,120,11020,Flashcards,"、Githubに作業ファイルをプッシュ。W3Schools CSS Home Intro Syntax"
2019-10-16 15:00:00,2019-10-16 18:10:00,190,11210,CherryBook,"4章　rgb.rb 詳しい配列ブロック制御処理　読み"
2019-10-19 14:45:00,2019-10-19 16:25:00,100,11310,CherryBook,"4章　復習 fin"
2019-10-21 08:45:00,2019-10-21 11:00:00,135,11445,Flashcards,"W3Schools CSS Selector"
2019-10-21 11:20:00,2019-10-21 14:30:00,190,11635,CherryBook,"5章　fin"
2019-10-22 20:30:00,2019-10-22 23:25:00,175,11810,CherryBook,"6章　正規表現1,2,3"
2019-10-23 19:00:00,2019-10-23 22:05:00,185,11995,CherryBook,"6章　正規表現1,2,3,4"
2019-11-03 16:40:00,2019-11-03 20:00:00,200,12195,CherryBook,"6章　正規表現1,2,3,4 convert_hash_syntax"
2019-11-04 14:10:00,2019-11-04 17:00:00,170,12365,CherryBook,"6章　fin 7章　例題テストOK"
2019-11-05 15:35:00,2019-11-05 18:00:00,145,12510,CherryBook,"7章　class"
2019-11-06 12:30:00,2019-11-06 14:30:00,120,12630,CherryBook,"8章　module"
2019-11-07 14:15:00,2019-11-07 17:05:00,170,12800,CherryBook,"8章　module fin"
2019-11-08 15:15:00,2019-11-08 17:50:00,155,12955,CherryBook,"9章　例外　解答自作"
2019-11-09 15:30:00,2019-11-09 17:00:00,90,13045,CherryBook,"9章　例外"
2019-11-10 16:50:00,2019-11-10 18:00:00,70,13115,CherryBook,"9章　例外"
2019-11-11 12:20:00,2019-11-11 17:45:00,325,13440,CherryBook,"fin"
2019-11-12 16:00:00,2019-11-12 18:00:00,120,13560,Flashcards,"3"
2019-11-13 13:45:00,2019-11-13 17:40:00,235,13795,Flashcards,"3,Flashcards作成"
2019-11-19 16:25:00,2019-11-19 18:30:00,125,13920,Flashcards,"4"
